Algoritmo;Dimensione (n);Funzione hash;Tempo di esecuzione
KMH;512;44;806531
KMH;512;45;803208
KMH;512;46;805747
KMH;512;47;806627
KMH;512;48;801862
KMH;512;49;814533
KMH;512;50;805293
KMH;512;51;805932
KMH;512;52;801881
KMH;512;53;802301
KMH;512;54;806095
KMH;512;55;803647
KMH;512;56;795496
KMH;512;57;793236
KMH;512;58;795325
KMH;512;59;792626
KMH;512;60;796950
KMH;512;61;798701
KMH;512;62;804495
KMH;512;63;797726
KMH;512;64;805432
KMH;512;65;863933
KMH;512;66;806241
KMH;512;67;806385
KMH;512;68;799190
KMH;512;69;799462
KMH;512;70;805102
KMH;512;71;793774
KMH;512;72;792803
KMH;512;73;797364
KMH;512;74;810085
KMH;512;75;798788
KMH;512;76;798747
KMH;512;77;802913
KMH;512;78;804306
KMH;512;79;887722
KMH;512;80;838158
KMH;512;81;801285
KMH;512;82;869994
KMH;512;83;807274
KMH;512;84;806522
KMH;512;85;807100
KMH;512;86;805896
KMH;512;87;804942
KMH;512;88;886045
KMH;512;89;835063
KMH;512;90;873134
KMH;512;91;805657
KMH;512;92;808886
KMH;512;93;807793
KMH;512;94;810739
KMH;512;95;805711
KMH;512;96;819797
KMH;512;97;799100
KMH;512;98;801912
KMH;512;99;805707
KMH;512;100;805681
KMH;1024;1;867412
KMH;1024;2;848726
KMH;1024;3;846304
KMH;1024;4;852847
KMH;1024;5;850736
KMH;1024;6;952263
KMH;1024;7;847164
KMH;1024;8;863763
KMH;1024;9;903908
KMH;1024;10;975000
KMH;1024;11;1.06887e+06
KMH;1024;12;886170
KMH;1024;13;963412
KMH;1024;14;1.01288e+06
KMH;1024;15;935650
KMH;1024;16;884702
KMH;1024;17;1.02126e+06
KMH;1024;18;930038
KMH;1024;19;881013
KMH;1024;20;880900
KMH;1024;21;869285
KMH;1024;22;855333
KMH;1024;23;855145
KMH;1024;24;852275
KMH;1024;25;855421
KMH;1024;26;856095
KMH;1024;27;855791
KMH;1024;28;892272
KMH;1024;29;853121
KMH;1024;30;857346
KMH;1024;31;856786
KMH;1024;32;850495
KMH;1024;33;852418
KMH;1024;34;851532
KMH;1024;35;853102
KMH;1024;36;851814
KMH;1024;37;852883
KMH;1024;38;852650
KMH;1024;39;852481
KMH;1024;40;853882
KMH;1024;41;852566
KMH;1024;42;850562
KMH;1024;43;853498
KMH;1024;44;854228
KMH;1024;45;851928
KMH;1024;46;852967
KMH;1024;47;851346
KMH;1024;48;853646
KMH;1024;49;856242
KMH;1024;50;854086
KMH;1024;51;852625
KMH;1024;52;850064
KMH;1024;53;851004
KMH;1024;54;852451
KMH;1024;55;852696
KMH;1024;56;851027
KMH;1024;57;850348
KMH;1024;58;852324
KMH;1024;59;852264
KMH;1024;60;853620
KMH;1024;61;851667
KMH;1024;62;851025
KMH;1024;63;851214
KMH;1024;64;851480
KMH;1024;65;850929
KMH;1024;66;846877
KMH;1024;67;850433
KMH;1024;68;857803
KMH;1024;69;868352
KMH;1024;70;849501
KMH;1024;71;851762
KMH;1024;72;854094
KMH;1024;73;849174
KMH;1024;74;852096
KMH;1024;75;851815
KMH;1024;76;850314
KMH;1024;77;850989
KMH;1024;78;852855
KMH;1024;79;848451
KMH;1024;80;851727
KMH;1024;81;848960
KMH;1024;82;848192
KMH;1024;83;853534
KMH;1024;84;853036
KMH;1024;85;852299
KMH;1024;86;851157
KMH;1024;87;850949
KMH;1024;88;851260
KMH;1024;89;852478
KMH;1024;90;850849
KMH;1024;91;847501
KMH;1024;92;848996
KMH;1024;93;846408
KMH;1024;94;851005
KMH;1024;95;852175
KMH;1024;96;851265
KMH;1024;97;848467
KMH;1024;98;840985
KMH;1024;99;913975
KMH;1024;100;868712
KMH;2048;1;981732
KMH;2048;2;938405
KMH;2048;3;937571
KMH;2048;4;935689
KMH;2048;5;942462
KMH;2048;6;1.03471e+06
KMH;2048;7;972144
KMH;2048;8;959788
KMH;2048;9;1.07881e+06
KMH;2048;10;1.05957e+06
KMH;2048;11;956561
KMH;2048;12;1.12966e+06
KMH;2048;13;980343
KMH;2048;14;1.01551e+06
KMH;2048;15;996775
KMH;2048;16;944965
KMH;2048;17;941685
KMH;2048;18;941555
KMH;2048;19;979226
KMH;2048;20;954830
KMH;2048;21;942373
KMH;2048;22;940552
KMH;2048;23;975590
KMH;2048;24;942209
KMH;2048;25;943080
KMH;2048;26;941329
KMH;2048;27;940559
KMH;2048;28;941454
KMH;2048;29;941707
KMH;2048;30;943601
KMH;2048;31;942516
KMH;2048;32;955976
KMH;2048;33;973212
KMH;2048;34;944739
KMH;2048;35;949483
KMH;2048;36;1.08193e+06
KMH;2048;37;969241
KMH;2048;38;989065
KMH;2048;39;942727
KMH;2048;40;944335
KMH;2048;41;943731
KMH;2048;42;940656
KMH;2048;43;942471
KMH;2048;44;964141
KMH;2048;45;961187
KMH;2048;46;957493
KMH;2048;47;953161
KMH;2048;48;944059
KMH;2048;49;941460
KMH;2048;50;942137
KMH;2048;51;941445
KMH;2048;52;941179
KMH;2048;53;941521
KMH;2048;54;940375
KMH;2048;55;940645
KMH;2048;56;939861
KMH;2048;57;942070
KMH;2048;58;940938
KMH;2048;59;941191
KMH;2048;60;941866
KMH;2048;61;941139
KMH;2048;62;941201
KMH;2048;63;942104
KMH;2048;64;941255
KMH;2048;65;944907
KMH;2048;66;939901
KMH;2048;67;939714
KMH;2048;68;939228
KMH;2048;69;940190
KMH;2048;70;942337
KMH;2048;71;941401
KMH;2048;72;942000
KMH;2048;73;941445
KMH;2048;74;939387
KMH;2048;75;942364
KMH;2048;76;940261
KMH;2048;77;940673
KMH;2048;78;940986
KMH;2048;79;941130
KMH;2048;80;941003
KMH;2048;81;941256
KMH;2048;82;940045
KMH;2048;83;941169
KMH;2048;84;941198
KMH;2048;85;942716
KMH;2048;86;971925
KMH;2048;87;1.08458e+06
KMH;2048;88;953489
KMH;2048;89;1.00691e+06
KMH;2048;90;946475
KMH;2048;91;948117
KMH;2048;92;943215
KMH;2048;93;991085
KMH;2048;94;968844
KMH;2048;95;942731
KMH;2048;96;952077
KMH;2048;97;947732
KMH;2048;98;968392
KMH;2048;99;977851
KMH;2048;100;1.04152e+06
KMH;4096;1;1.1674e+06
KMH;4096;2;1.12309e+06
KMH;4096;3;1.12013e+06
KMH;4096;4;1.12047e+06
KMH;4096;5;1.11926e+06
KMH;4096;6;1.12339e+06
KMH;4096;7;1.26744e+06
KMH;4096;8;1.12137e+06
KMH;4096;9;1.11959e+06
KMH;4096;10;1.12524e+06
KMH;4096;11;1.12641e+06
KMH;4096;12;1.1191e+06
KMH;4096;13;1.11735e+06
KMH;4096;14;1.14155e+06
KMH;4096;15;1.1763e+06
KMH;4096;16;1.18324e+06
KMH;4096;17;1.15325e+06
KMH;4096;18;1.19472e+06
KMH;4096;19;1.25038e+06
KMH;4096;20;1.12373e+06
