Algoritmo;K;Jaccard_reale;Ripetizione;Jaccard_stimata
KMH;16;0.69906;54;0.625
KMH;16;0.69906;55;0.625
KMH;16;0.69906;56;0.5625
KMH;16;0.69906;57;0.625
KMH;16;0.69906;58;0.6875
KMH;16;0.69906;59;0.6875
KMH;16;0.69906;60;0.75
KMH;16;0.69906;61;0.75
KMH;16;0.69906;62;0.8125
KMH;16;0.69906;63;0.8125
KMH;16;0.69906;64;0.8125
KMH;16;0.69906;65;0.8125
KMH;16;0.69906;66;0.8125
KMH;16;0.69906;67;0.8125
KMH;16;0.69906;68;0.75
KMH;16;0.69906;69;0.8125
KMH;16;0.69906;70;0.75
KMH;16;0.69906;71;0.75
KMH;16;0.69906;72;0.75
KMH;16;0.69906;73;0.75
KMH;16;0.69906;74;0.75
KMH;16;0.69906;75;0.75
KMH;16;0.69906;76;0.6875
KMH;16;0.69906;77;0.6875
KMH;16;0.69906;78;0.6875
KMH;16;0.69906;79;0.75
KMH;16;0.69906;80;0.75
KMH;16;0.69906;81;0.6875
KMH;16;0.69906;82;0.6875
KMH;16;0.69906;83;0.625
KMH;16;0.69906;84;0.6875
KMH;16;0.69906;85;0.6875
KMH;16;0.69906;86;0.75
KMH;16;0.69906;87;0.6875
KMH;16;0.69906;88;0.75
KMH;16;0.69906;89;0.6875
KMH;16;0.69906;90;0.625
KMH;16;0.69906;91;0.625
KMH;16;0.69906;92;0.6875
KMH;16;0.69906;93;0.6875
KMH;16;0.69906;94;0.625
KMH;16;0.69906;95;0.5625
KMH;16;0.69906;96;0.5625
KMH;16;0.69906;97;0.625
KMH;16;0.69906;98;0.625
KMH;16;0.69906;99;0.625
KMH;16;0.69906;100;0.625
KMH;16;0.8011;1;0.875
KMH;16;0.8011;2;0.875
KMH;16;0.8011;3;0.875
KMH;16;0.8011;4;0.8125
KMH;16;0.8011;5;0.8125
KMH;16;0.8011;6;0.8125
KMH;16;0.8011;7;0.8125
KMH;16;0.8011;8;0.8125
KMH;16;0.8011;9;0.8125
KMH;16;0.8011;10;0.875
KMH;16;0.8011;11;0.875
KMH;16;0.8011;12;0.875
KMH;16;0.8011;13;0.9375
KMH;16;0.8011;14;0.9375
KMH;16;0.8011;15;0.875
KMH;16;0.8011;16;0.875
KMH;16;0.8011;17;0.875
KMH;16;0.8011;18;0.875
KMH;16;0.8011;19;0.875
KMH;16;0.8011;20;0.9375
KMH;16;0.8011;21;0.9375
KMH;16;0.8011;22;0.9375
KMH;16;0.8011;23;0.9375
KMH;16;0.8011;24;0.875
